num_layers,alpha,lr,accuracy
2,1.0,1e-08,0.0955
2,1.0,1e-07,0.0723
2,1.0,1e-06,0.1473
2,1.0,1e-05,0.6466
2,1.0,0.0001,0.7959
2,1.0,0.001,0.8067
2,1.0,0.01,0.7696
2,1.0,0.1,0.7549
2,1.0,1.0,0.6077
2,1.0,10.0,0.6288
4,1.0,1e-08,0.0797
4,1.0,1e-07,0.061
4,1.0,1e-06,0.1452
4,1.0,1e-05,0.6311
4,1.0,0.0001,0.7988
4,1.0,0.001,0.7935
4,1.0,0.01,0.7781
4,1.0,0.1,0.7353
4,1.0,1.0,0.7298
4,1.0,10.0,0.6479
8,1.0,1e-08,0.0587
8,1.0,1e-07,0.1097
8,1.0,1e-06,0.1326
8,1.0,1e-05,0.5894
8,1.0,0.0001,0.7944
8,1.0,0.001,0.8132
8,1.0,0.01,0.7759
8,1.0,0.1,0.7506
8,1.0,1.0,0.6614
8,1.0,10.0,0.5766
16,1.0,1e-08,0.0207
16,1.0,1e-07,0.113
16,1.0,1e-06,0.1118
16,1.0,1e-05,0.6176
16,1.0,0.0001,0.8094
16,1.0,0.001,0.806
16,1.0,0.01,0.7637
16,1.0,0.1,0.7408
16,1.0,1.0,0.7085
16,1.0,10.0,0.7048
32,1.0,1e-08,0.0699
32,1.0,1e-07,0.1463
32,1.0,1e-06,0.0959
32,1.0,1e-05,0.6447
32,1.0,0.0001,0.8093
32,1.0,0.001,0.8003
32,1.0,0.01,0.7588
32,1.0,0.1,0.7568
32,1.0,1.0,0.6654
32,1.0,10.0,0.7139
64,1.0,1e-08,0.077
64,1.0,1e-07,0.0703
64,1.0,1e-06,0.1472
64,1.0,1e-05,0.6446
64,1.0,0.0001,0.8067
64,1.0,0.001,0.8005
64,1.0,0.01,0.7784
64,1.0,0.1,0.7077
64,1.0,1.0,0.6228
64,1.0,10.0,0.5591
128,1.0,1e-08,0.1369
128,1.0,1e-07,0.1115
128,1.0,1e-06,0.1745
128,1.0,1e-05,0.6532
128,1.0,0.0001,0.8035
128,1.0,0.001,0.8007
128,1.0,0.01,0.7699
128,1.0,0.1,0.7433
128,1.0,1.0,0.4585
128,1.0,10.0,0.7367
